P41143-P41145,4EJ4-4DJH,DB01571,Identity:353/906(39.0%),N/A,N/A,N/A,N/A,N/A,N/A
Q16445-P14867,1VRY-5OSA,DB01351,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
Q16445-P48169,1VRY-1VRY,DB01351,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P14867-P28472,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
P14867-P47870,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
P14867-P14867,5OSA-5OSA,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P14867-P47869,5OSA-5O8F,DB00231,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
P14867-P48169,5OSA-1VRY,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
P14867-P18505,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-P14867,4COF-5OSA,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-P47870,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P18505-P47869,4COF-5O8F,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-P48169,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-Q16445,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-P18505,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P18505-P28472,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P18505-P47869,4COF-5O8F,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-P48169,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P28472-P18505,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P28472-P47869,4COF-5O8F,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
P28472-P48169,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P28472-Q16445,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P28472-P28472,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P28472-P47869,4COF-5O8F,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
P28472-P48169,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P28472-Q16445,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P47870-P28472,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P47870-P14867,4COF-5OSA,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
P47870-P48169,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P47870-P18505,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P47870-P47869,4COF-5O8F,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
P14867-P18505,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
P14867-P28472,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
P14867-P47870,5OSA-4COF,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
P14867-P47869,5OSA-5O8F,DB00231,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
P47869-P47870,5O8F-4COF,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
P47869-P14867,5O8F-5OSA,DB00231,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
P47869-Q16445,5O8F-1VRY,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
P47869-P47870,5O8F-4COF,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
P47869-P48169,5O8F-1VRY,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
P48169-P14867,1VRY-5OSA,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
P48169-P47869,1VRY-5O8F,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
P48169-P47869,1VRY-5O8F,DB00231,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
P48169-Q16445,1VRY-1VRY,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Q16445-P14867,1VRY-5OSA,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
Q16445-P47870,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
Q16445-P14867,1VRY-5OSA,DB00231,Identity:385/1779(21.6%),N/A,N/A,N/A,N/A,N/A,N/A
Q16445-P48169,1VRY-1VRY,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Q16445-P47870,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
Q16445-P28472,1VRY-4COF,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-P28472,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P18505-P14867,4COF-5OSA,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-P47869,4COF-5O8F,DB00231,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-P48169,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-Q16445,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P18505-P28472,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P18505-P48169,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P47870-P14867,4COF-5OSA,DB00231,Identity:585/1775(33.0%),N/A,N/A,N/A,N/A,N/A,N/A
P47870-P18505,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P47870-P28472,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P47870-P47870,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P47870-P48169,4COF-1VRY,DB00231,Identity:414/1893(21.9%),N/A,N/A,N/A,N/A,N/A,N/A
P47870-P18505,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P47870-P28472,4COF-4COF,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
