500,unbound,Irinotecan,DB00762,Q969P6,1A31,66,1RRJ,66,1A35,66
501,unbound,Irinotecan,DB00762,P11387,1A31,92,1RRJ,92,1A35,92
543,unbound,Lucanthone,DB04967,P11387,1A31,92,1RRJ,92,1A35,92
106,bound,Zanamivir,DB00558,P27907,1A4G,97,4CPZ,86,4CPN,86
258,unbound,Dalfampridine,DB06637,Q96RP8,1A68,71,1QDW,68,1DSX,67
491,unbound,Imipenem,DB01598,P00807,1ALQ,95,1DJA,91,1DJC,91
106,unbound,Botulinum Toxin Type B,DB00042,Q8N9I0,1BYN,86,4WEE,86,3F04,86
290,unbound,Diclofenac,DB00586,P35499,1BYY,91,5DBR,84,4OVN,78
531,unbound,Lidocaine,DB00281,Q9Y5Y9,1BYY,94,5DBR,92,4DJC,86
806,unbound,Procaine,DB00721,Q9Y5Y9,1BYY,94,5DBR,92,4DJC,86
937,unbound,Topiramate,DB00273,P35498,1BYY,98,5DBR,85,2KAV,83
1006,unbound,Zonisamide,DB00909,P35498,1BYY,98,5DBR,85,2KAV,83
1007,unbound,Zonisamide,DB00909,Q9UI33,1BYY,91,5DBR,90,4DJC,83
1009,unbound,Zonisamide,DB00909,P35499,1BYY,91,5DBR,84,4OVN,78
16,unbound,Acitretin,DB00459,P13631,1DSZ,95,1HRA,94,1FCY,93
23,unbound,Adapalene,DB00210,P13631,1DSZ,95,1HRA,94,1FCY,93
34,unbound,Alitretinoin,DB00523,P13631,1DSZ,95,1HRA,94,1FCY,93
383,unbound,Etretinate,DB00926,P13631,1DSZ,95,1HRA,94,1FCY,93
885,unbound,Tazarotene,DB00799,P13631,1DSZ,95,1HRA,94,1FCY,93
950,unbound,Tretinoin,DB00755,P13631,1DSZ,95,1HRA,94,1FCY,93
752,unbound,Penciclovir,DB00299,P06478,1E2K,98,1E2H,98,1OF1,98
981,unbound,Valaciclovir,DB00577,Q9QNF7,1E2K,99,1E2H,99,1OF1,99
39,bound,Ibuprofen,DB01050,P23219,1EQG,89,4PH9,62,4RS0,61
264,unbound,Dapsone,DB00250,P0C0X1,1EYE,73,2DQW,43,2DZA,43
460,unbound,Hexachlorophene,DB00756,P06149,1F0X,97,,0,,0
35,bound,Dihomo-gamma-linolenic acid,DB00154,P23219,1FE2,89,,0,,0
36,bound,Dihomo-gamma-linolenic acid,DB00154,P35354,1FE2,61,,0,,0
6,bound,Alitretinoin,DB00523,P28702,1G5Y,87,3OAP,87,1FM6,87
691,unbound,Nitrofural,DB00336,P06715,1GER,97,1GET,97,1GES,96
200,unbound,Cerulenin,DB01034,P0A953,1H4F,97,2VBA,97,2VB9,97
837,unbound,Riboflavin,DB00140,P30043,1HDO,93,1HE2,93,1HE3,93
31,unbound,Agmatine,DB08838,P18825,1HLL,94,1HO9,91,3PBL,42
36,unbound,Alprenolol,DB00866,P08908,1HLL,75,4AMJ,42,2Y00,42
107,unbound,Brexpiprazole,DB09128,P08908,1HLL,75,4AMJ,42,2Y00,42
108,unbound,Brexpiprazole,DB09128,P18825,1HLL,94,1HO9,91,3PBL,42
109,unbound,Brimonidine,DB00484,P18825,1HLL,94,1HO9,91,3PBL,42
110,unbound,Brimonidine,DB00484,P18089,1HLL,81,1HO9,78,5WIU,42
149,unbound,Cariprazine,DB06016,P08908,1HLL,75,4AMJ,42,2Y00,42
203,unbound,Chlorpromazine,DB00477,P08908,1HLL,75,4AMJ,42,2Y00,42
226,unbound,Clonidine,DB00575,P18825,1HLL,94,1HO9,91,3PBL,42
227,unbound,Clonidine,DB00575,P18089,1HLL,81,1HO9,78,5WIU,42
320,unbound,Doxepin,DB01142,P08908,1HLL,75,4AMJ,42,2Y00,42
327,unbound,Droxidopa,DB06262,P18825,1HLL,94,1HO9,91,3PBL,42
328,unbound,Droxidopa,DB06262,P18089,1HLL,81,1HO9,78,5WIU,42
347,unbound,Ephedra,DB01363,P18825,1HLL,94,1HO9,91,3PBL,42
348,unbound,Ephedra,DB01363,P18089,1HLL,81,1HO9,78,5WIU,42
354,unbound,Epinephrine,DB00668,P18089,1HLL,81,1HO9,78,5WIU,42
376,unbound,Etomidate,DB00292,P18089,1HLL,81,1HO9,78,5WIU,42
401,unbound,Flibanserin,DB04908,P08908,1HLL,75,4AMJ,42,2Y00,42
583,unbound,Methamphetamine,DB01577,P18825,1HLL,94,1HO9,91,3PBL,42
584,unbound,Methamphetamine,DB01577,P18089,1HLL,81,1HO9,78,5WIU,42
607,unbound,Methysergide,DB00247,P08908,1HLL,75,4AMJ,42,2Y00,42
659,unbound,Naratriptan,DB00952,P08908,1HLL,75,4AMJ,42,2Y00,42
661,unbound,Nefazodone,DB01149,P08908,1HLL,75,4AMJ,42,2Y00,42
694,unbound,Norepinephrine,DB00368,P18825,1HLL,94,1HO9,91,3PBL,42
695,unbound,Norepinephrine,DB00368,P18089,1HLL,81,1HO9,78,5WIU,42
749,unbound,Penbutolol,DB01359,P08908,1HLL,75,4AMJ,42,2Y00,42
868,unbound,Sumatriptan,DB00669,P08908,1HLL,75,4AMJ,42,2Y00,42
923,unbound,Tiapride,DB13025,P18825,1HLL,94,1HO9,91,3PBL,42
928,unbound,Tizanidine,DB00697,P18825,1HLL,94,1HO9,91,3PBL,42
929,unbound,Tizanidine,DB00697,P18089,1HLL,81,1HO9,78,5WIU,42
947,unbound,Trazodone,DB00656,P08908,1HLL,75,4AMJ,42,2Y00,42
994,unbound,Vortioxetine,DB09068,P08908,1HLL,75,4AMJ,42,2Y00,42
998,unbound,Yohimbine,DB01392,P18825,1HLL,94,1HO9,91,3PBL,42
999,unbound,Yohimbine,DB01392,P18089,1HLL,81,1HO9,78,5WIU,42
1004,unbound,Zolmitriptan,DB00315,P08908,1HLL,75,4AMJ,42,2Y00,42
551,unbound,Marimastat,DB00786,P24347,1HV5,94,1EAK,54,1AYK,52
243,unbound,Creatine,DB00148,P06732,1I0E,97,1U6R,93,2CRK,92
41,bound,Icosapent,DB00159,P23219,1IGX,89,3HS6,62,,0
550,unbound,Marimastat,DB00786,P14780,1ITV,99,1L6J,96,4JIJ,91
74,bound,Sapropterin,DB00360,P17752,1J8U,65,1MMK,65,1KW0,65
76,bound,Sapropterin,DB00360,P07101,1J8U,63,1MMK,63,1KW0,63
77,bound,Sapropterin,DB00360,P00439,1J8U,96,1MMK,96,1KW0,96
61,bound,Mycophenolic acid,DB01024,P12268,1JR1,99,4AF0,59,4FO4,44
62,bound,Mycophenolic acid,DB01024,P20839,1JR1,84,4AF0,61,4FO4,44
976,unbound,Urokinase,DB00013,P05120,1JRR,87,1BY7,87,2ARR,86
372,unbound,Ethanol,DB00898,P23416,1MOT,96,5TIN,84,5VDH,84
105,unbound,Botulinum Toxin Type B,DB00042,P23763,1N7S,95,1KIL,95,5CCG,95
836,unbound,Riboflavin,DB00140,Q969G6,1NB0,99,1P4M,99,1Q9S,99
1003,unbound,Zanamivir,DB00558,P27907,1NSC,97,1NSD,97,1A4Q,97
221,unbound,Clodronate,DB00720,P12235,1OKC,92,2C3E,92,4C9G,50
222,unbound,Clodronate,DB00720,P12236,1OKC,85,2C3E,85,4C9G,50
223,unbound,Clodronate,DB00720,P05141,1OKC,85,2C3E,85,4C9G,51
34,bound,Diclofenac,DB00586,P35354,1PXX,84,3N8Y,61,,0
11,unbound,Acetaminophen,DB00316,P23219,1Q4G,90,3N8Y,90,1HT8,90
13,unbound,Acetylsalicylic acid,DB00945,P23219,1Q4G,90,3N8Y,90,1HT8,90
82,unbound,Balsalazide,DB01014,P23219,1Q4G,90,3N8Y,90,1HT8,90
285,unbound,Diclofenac,DB00586,P23219,1Q4G,90,3N8Y,90,1HT8,90
296,unbound,Dihomo-gamma-linolenic acid,DB00154,P23219,1Q4G,90,3N8Y,90,1HT8,90
484,unbound,Ibuprofen,DB01050,P23219,1Q4G,90,3N8Y,90,1HT8,90
486,unbound,Icosapent,DB00159,P23219,1Q4G,90,3N8Y,90,1HT8,90
540,unbound,Lornoxicam,DB06725,P23219,1Q4G,90,3N8Y,90,1HT8,90
544,unbound,Lumiracoxib,DB01283,P23219,1Q4G,90,3N8Y,90,1HT8,90
548,unbound,Magnesium salicylate,DB01397,P23219,1Q4G,90,3N8Y,90,1HT8,90
558,unbound,Meclofenamic acid,DB00939,P23219,1Q4G,90,3N8Y,90,1HT8,90
575,unbound,Mesalazine,DB00244,P23219,1Q4G,90,3N8Y,90,1HT8,90
657,unbound,Naproxen,DB00788,P23219,1Q4G,90,3N8Y,90,1HT8,90
710,unbound,Oxaprozin,DB00991,P23219,1Q4G,90,3N8Y,90,1HT8,90
775,unbound,Phenylbutazone,DB00812,P23219,1Q4G,90,3N8Y,90,1HT8,90
842,unbound,Salicylic acid,DB00936,P23219,1Q4G,90,3N8Y,90,1HT8,90
844,unbound,Salsalate,DB01399,P23219,1Q4G,90,3N8Y,90,1HT8,90
864,unbound,Sulfasalazine,DB00795,P23219,1Q4G,90,3N8Y,90,1HT8,90
872,unbound,Suprofen,DB00870,P23219,1Q4G,90,3N8Y,90,1HT8,90
924,unbound,Tiaprofenic acid,DB01600,P23219,1Q4G,90,3N8Y,90,1HT8,90
256,unbound,Dalfampridine,DB06637,P22460,1QDV,86,1QDW,86,1DSX,85
259,unbound,Dalfampridine,DB06637,Q16322,1QDV,78,1QDW,78,4BGC,77
255,unbound,Dalfampridine,DB06637,P22459,1QDW,87,1DSX,86,4BGC,83
257,unbound,Dalfampridine,DB06637,P17658,1QDW,87,1DSX,86,1QDV,85
241,unbound,Creatine,DB00148,P12532,1QK1,94,4Z9M,80,1CRK,79
71,bound,Raloxifene,DB00481,Q92731,1QKN,91,2QXS,59,1ERR,59
554,unbound,Marimastat,DB00786,Q9Y5R2,1RM8,85,3MA2,72,5H0U,72
263,unbound,Dalfampridine,DB06637,Q9NSA2,1S1G,71,1NN7,70,2NZ0,66
52,unbound,Amphetamine,DB00182,P27338,1S3E,98,1S3B,98,2XFP,98
53,unbound,Amphetamine,DB00182,P27338,1S3E,98,1S3B,98,2XFP,98
351,unbound,Ephedra,DB01363,P27338,1S3E,98,1S3B,98,2XFP,98
502,unbound,Isocarboxazid,DB01247,P27338,1S3E,98,1S3B,98,2XFP,98
586,unbound,Methamphetamine,DB01577,P27338,1S3E,98,1S3B,98,2XFP,98
637,unbound,MMDA,DB01442,P27338,1S3E,98,1S3B,98,2XFP,98
770,unbound,Phenelzine,DB00780,P27338,1S3E,98,1S3B,98,2XFP,98
773,unbound,Phentermine,DB00191,P27338,1S3E,98,1S3B,98,2XFP,98
945,unbound,Tranylcypromine,DB00752,P27338,1S3E,98,1S3B,98,2XFP,98
944,unbound,Trametinib,DB08911,P36507,1S9I,95,3ZLY,83,3ZLW,83
43,unbound,Aminophylline,DB01223,Q14432,1SO2,66,1SOJ,66,3DYN,36
727,unbound,Oxtriphylline,DB01303,Q14432,1SO2,66,1SOJ,66,3DYN,36
910,unbound,Theophylline,DB00277,Q14432,1SO2,66,1SOJ,66,3DYN,36
340,unbound,Enflurane,DB00228,P48167,1T3E,98,5TIN,55,5VDH,55
46,bound,Imatinib,DB00619,P10721,1T46,90,4R7I,59,1XBB,45
316,unbound,Doripenem,DB06211,P72355,1TVF,97,3HUN,94,3HUM,94
80,bound,Sorafenib,DB00398,P04049,1UWH,80,5HI2,76,,0
188,unbound,Ceftizoxime,DB01332,Q53707,1VQQ,95,1MWS,95,1MWR,95
609,unbound,Meticillin,DB01603,Q53707,1VQQ,95,1MWS,95,1MWR,95
49,unbound,Amobarbital,DB01351,P48169,1VRY,62,2M6B,59,5O8F,52
50,unbound,Amobarbital,DB01351,Q16445,1VRY,62,2M6B,58,5O8F,50
66,unbound,Aprobarbital,DB01352,P48169,1VRY,62,2M6B,59,5O8F,52
67,unbound,Aprobarbital,DB01352,Q16445,1VRY,62,2M6B,58,5O8F,50
87,unbound,Barbital,DB01483,P48169,1VRY,62,2M6B,59,5O8F,52
88,unbound,Barbital,DB01483,Q16445,1VRY,62,2M6B,58,5O8F,50
91,unbound,Barbituric acid derivative,DB01496,P48169,1VRY,62,2M6B,59,5O8F,52
92,unbound,Barbituric acid derivative,DB01496,Q16445,1VRY,62,2M6B,58,5O8F,50
112,unbound,Bromazepam,DB01558,P48169,1VRY,62,2M6B,59,5O8F,52
